name,url,song0,song1,song2,song3,song4
ejiejidayo,https://scoresaber.com/u/76561198005985428,95.82,95.7,94.07,95.24,95.0
Marsh_era,https://scoresaber.com/u/1477469542377599,95.76,95.64,93.91,95.71,94.75
レイクン,https://scoresaber.com/u/2706482852701803,94.52,94.88,93.15,94.2,94.27
FaZPi,https://scoresaber.com/u/76561198373858287,94.72,95.39,90.01,94.57,92.99
みんな褐色になればいいのに,https://scoresaber.com/u/76561198166173965,93.75,94.5,90.74,93.43,90.07
DAHAMSTERS,https://scoresaber.com/u/3737447149647733,91.7,93.16,81.82,90.39,88.62
oriha（棄権）,https://scoresaber.com/u/76561198856489523,0,0,0,0,0
ozozpa,https://scoresaber.com/u/76561198954262813,90.1,90.61,85.1,87.18,87.32
ひまじn,https://scoresaber.com/u/76561198120197967,92.61,91.26,85.33,89.41,87.4
ドラグノフ,https://scoresaber.com/u/76561198058827356,94.09,94.59,91.51,93.78,91.09
Sei15,https://scoresaber.com/u/76561198275186813,92.02,92.11,88.55,90.99,90.13
金髪,https://scoresaber.com/u/1783650905059645,0,89.8,87.58,88.62,89.17
じーゆ,https://scoresaber.com/u/76561198840365099,92.23,89.52,84.64,90.11,88.45
らっきょ,https://scoresaber.com/u/76561199070578780,93.18,93.94,89.37,92.32,90.23
みなとほくと,https://scoresaber.com/u/76561198873082105,94.21,94.29,89.43,92.28,88.11
がらい（棄権）,https://scoresaber.com/u/76561198005851277,91.91,91.24,88.2,91.01,87.38
