name,url,song0,song1,song2,song3,song4,song5,song6
The Firth,https://scoresaber.com/u/76561198346097702,94.76,94.79,89.71,95.08,93.13,86.41,85.2
Kluele（棄権）,https://scoresaber.com/u/76561198836824096,94.08,94.29,82.65,94.46,93.58,89.12,87.44
fran,https://scoresaber.com/u/76561199087142165,94.53,94.63,84.52,94.95,93.91,85.33,87.05
HARUFA,https://scoresaber.com/u/76561198849432732,95.43,95.1,85.56,95.55,94.52,93.07,92.2
chiaki,https://scoresaber.com/u/76561198096448253,93.58,93.7,73.92,92.13,84.67,0.0,85.29
いく,https://scoresaber.com/u/76561198221696200,95.02,94.92,78.93,95.19,90.97,86.42,86.4
BigSlick,https://scoresaber.com/u/76561198014681219,94.89,94.94,91.26,95.11,95.14,91.39,91.09
esa,https://scoresaber.com/u/76561198054208749,94.39,94.08,90.45,94.42,93.16,89.6,88.64
りぃら,https://scoresaber.com/u/76561198333579638,94.98,95.31,80.48,95.39,93.19,83.65,78.08
Hiromiru,https://scoresaber.com/u/76561199024375521,95.32,95.21,88.41,95.5,93.43,90.74,89.01
Otowa_milu,https://scoresaber.com/u/76561198379528835,95.54,95.24,90.68,95.53,94.73,89.43,88.98
aruru,https://scoresaber.com/u/76561198993503681,94.93,95.01,92.03,95.22,94.14,78.75,91.11
yaki_butter,https://scoresaber.com/u/76561198057953269,93.14,92.92,66.5,93.93,91.86,84.14,75.47
katobu,https://scoresaber.com/u/76561198143693383,95.28,94.36,89.48,94.86,93.75,86.36,82.17
tao,https://scoresaber.com/u/76561198994947156,0,91.6,66.61,90.7,86.86,75.69,70.04
